mean,median,var,std,skewness,kurtosis,zerocrossrate,NA,peak2peak,activity,mobility,complexity,mean_power,median_power,variance_power,std_power,skewness_power,kurtosis_power,delta_power,theta_power,alpha_power,beta_power,gamma_power,peak_frequency,theta_alpha_ratio,beta_alpha_ratio,theta_beta_ratio,gamma_delta_ratio,ratio_one,ratio_two,ratio_three,label
-0.009743166,0.118342825,70.465392,8.394366683,-0.284226078,4.940101518,0.15390625,0,74.90228031,70.465392,0.431884411,2.726399275,1066.76497,317.5115293,5604527.499,2367.388329,2367.388329,17.98087826,31391.31414,21506.98163,13618.31855,11750.5244,12958.22865,3,1.579268509,0.862846934,1.830299729,0.412796629,2.989253839,1.384584242,0.54896589,1
-0.008310238,0.099500149,63.56438779,7.972727751,-0.311800647,5.235131725,0.171614583,0,73.60119397,63.56438779,0.443523491,2.692284114,936.8091443,295.2006851,4423918.79,2103.311387,2103.311387,18.54269119,29206.85658,19424.14095,7871.712036,12817.33764,13137.64977,3,2.467587847,1.628278268,1.515458319,0.44981389,2.129603959,1.319338172,0.699999714,1
-0.011582906,0.189822147,53.35284965,7.304303502,-0.326352438,5.098885394,0.159114583,0,67.12066629,53.35284965,0.445627868,2.615927433,750.9948247,151.3887201,3339276.454,1827.368724,1827.368724,19.89170634,23343.27669,19794.97551,6330.022158,8137.559014,7034.070518,3,3.12715738,1.285549847,2.432544633,0.301331754,3.210421899,1.805761264,0.511288941,1
-0.00529471,0.159828695,54.51618382,7.383507556,-0.313859087,4.810809735,0.17265625,0,66.03213503,54.51618382,0.480977326,2.499421093,944.477041,319.3684032,4685965.564,2164.709118,2164.709118,23.02551946,28578.21285,22392.66515,9556.004761,11948.95006,12997.49427,4,2.343308288,1.250412736,1.874027846,0.454804306,2.673763782,1.485642271,0.654174804,1
-0.010137744,0.019727275,36.91689778,6.07592773,-0.275006808,4.385103778,0.220572917,0,50.47756918,36.91689778,0.602027713,2.129727416,638.8500452,200.6745659,1032935.564,1016.334376,1016.334376,12.44956273,9811.42629,8151.774279,2054.424696,19160.99867,23833.59515,4,3.967910965,9.326697983,0.425435773,2.429167223,0.532654855,0.48107449,3.62338899,1
-0.004280004,0.145714424,41.33968382,6.429594374,-0.160495693,4.523686525,0.170572917,0,54.40131881,41.33968382,0.482072317,2.543985495,805.0947951,368.7198998,3672797.343,1916.454368,1916.454368,23.20665793,25896.79343,16968.99516,4398.680786,9758.20387,14212.68081,3,3.857746444,2.218438742,1.738946572,0.548820102,2.189714033,1.509348735,0.79123649,1
-0.006519711,0.195566744,39.43951337,6.280088644,-0.307200598,5.348375932,0.16328125,0,60.56839031,39.43951337,0.461045631,2.579060483,625.344743,178.9420878,2679275.32,1636.849205,1636.849205,23.59432693,20046.94705,14632.65957,6088.069069,8352.18027,7009.918862,3,2.403497629,1.371893153,1.751956866,0.349675132,2.480876606,1.43492873,0.587797576,1
-0.002715458,0.085651098,33.3068999,5.771213036,-0.356786657,4.50419424,0.17578125,0,51.14637556,33.3068999,0.500182962,2.36880741,1032.042246,177.8574782,7536002.037,2745.177961,2745.177961,22.8956485,36027.56871,23647.87209,11870.2467,7893.871094,6510.917101,3,1.992197188,0.66501323,2.995725647,0.180720413,4.49945513,1.797101149,0.300739983,1
-0.002358876,0.16540933,43.90414199,6.626020072,-0.169400843,3.328078413,0.34296875,0,46.94810737,43.90414199,0.974400034,1.423737795,1809.101148,785.7128613,6341964.12,2518.325658,2518.325658,7.670661961,27929.15242,18629.91494,13911.05457,41766.42632,64422.00392,3,1.339216581,3.002391092,0.446050011,2.306622233,0.779117879,0.584454774,2.537951838,1
-0.007285603,0.217903313,28.99092635,5.384322274,-0.314274439,4.041630181,0.21015625,0,41.4055411,28.99092635,0.593037268,2.121257913,849.5454471,180.1802522,4083259.632,2020.707706,2020.707706,21.64753956,23683.83576,9144.918575,5262.596841,12182.52504,19922.40646,2,1.737719771,2.31492653,0.750658713,0.841181583,1.182637866,0.825876455,1.109115308,1
